,Date,Open,High,Low,Close,Volume,Trading Value,index,Close_9020,Date_9020,diff_9020,Close_9021,Date_9021,diff_9021,Close_9048,Date_9048,diff_9048
94,2016/8/12,18030,18065,17755,17800,340500,6086060000,94,8882,2016/8/12,-0.007819481680071516,5974,2016/8/12,-0.009451168960371459,538,2016/8/12,-0.009208103130755041
95,2016/8/10,17760,17930,17610,17820,332100,5905252000,95,8952,2016/8/10,0.014850923931527094,6031,2016/8/10,0.014978121844496872,543,2016/8/10,-0.003669724770642202
96,2016/8/9,17785,17910,17700,17785,259900,4619820500,96,8821,2016/8/9,-0.0038396386222473433,5942,2016/8/9,-0.006520648720949707,545,2016/8/9,0.007393715341959428
97,2016/8/8,17880,17960,17580,17835,383000,6797920500,97,8855,2016/8/8,-0.0009026289066906834,5981,2016/8/8,0.011842327863305746,541,2016/8/8,-0.0036832412523020164
98,2016/8/5,17595,17745,17450,17560,332800,5842271500,98,8863,2016/8/5,0.005331215970961978,5911,2016/8/5,-0.005886310124453398,543,2016/8/5,-0.009124087591240837
99,2016/8/4,17940,18105,17545,17690,391900,6951689500,99,8816,2016/8/4,-0.0024892509617560066,5946,2016/8/4,-0.022843056696795427,548,2016/8/4,-0.016157989228007152
100,2016/8/3,18100,18135,17760,17775,503700,9014380500,100,8838,2016/8/3,-0.03504749426793319,6085,2016/8/3,-0.03489294210943694,557,2016/8/3,-0.01763668430335097
101,2016/8/2,18550,18750,18340,18340,523800,9673491000,101,9159,2016/8/2,-0.019063939166755972,6305,2016/8/2,-0.002689022461246471,567,2016/8/2,-0.017331022530329254
102,2016/8/1,18785,18995,18665,18950,326400,6160669000,102,9337,2016/8/1,-0.015603584607274623,6322,2016/8/1,-0.012958626073380164,577,2016/8/1,-0.0017301038062284002
103,2016/7/29,18830,19220,18670,19220,517300,9813423500,103,9485,2016/7/29,0.005192878338278861,6405,2016/7/29,0.016989520482692866,578,2016/7/29,0.021201413427561766
104,2016/7/28,18945,18995,18710,18810,372600,7013366000,104,9436,2016/7/28,-0.008823529411764675,6298,2016/7/28,-0.05817257365036643,566,2016/7/28,-0.01565217391304352
105,2016/7/27,19200,19275,18965,18980,395200,7541979500,105,9520,2016/7/27,-0.006159306816995502,6687,2016/7/27,0.003300825206301594,575,2016/7/27,-0.00519031141868509
106,2016/7/26,19185,19200,18875,19025,274800,5232849000,106,9579,2016/7/26,-0.00031308703819665773,6665,2016/7/26,-0.004183475272672932,578,2016/7/26,0.006968641114982521
107,2016/7/25,19110,19340,19010,19185,238300,4572817500,107,9582,2016/7/25,0.006301197227473132,6693,2016/7/25,0.003297856393344345,574,2016/7/25,-0.010344827586206917
108,2016/7/22,19050,19420,18960,19195,414000,7954793500,108,9522,2016/7/22,-0.012445550715619147,6671,2016/7/22,-0.001496781918874368,580,2016/7/22,0.0034602076124568004
109,2016/7/21,19565,19585,19035,19195,433500,8347223000,109,9642,2016/7/21,-0.012292562999385415,6681,2016/7/21,-0.007575757575757569,578,2016/7/21,-0.021996615905245376
110,2016/7/20,19265,19495,19095,19450,435500,8426305500,110,9762,2016/7/20,0.0344389106707641,6732,2016/7/20,0.002382370458606342,591,2016/7/20,0.015463917525773141
111,2016/7/19,19285,19365,18990,19325,486700,9354843500,111,9437,2016/7/19,-0.004430847135773797,6716,2016/7/19,0.018038502349552843,582,2016/7/19,0.019264448336252293
112,2016/7/15,19430,19460,19165,19285,422500,8146780500,112,9479,2016/7/15,0.012281076463049878,6597,2016/7/15,0.011034482758620623,571,2016/7/15,-0.018900343642611728
113,2016/7/14,18900,19325,18805,19280,484000,9283031500,113,9364,2016/7/14,-0.007209499575911771,6525,2016/7/14,-0.00790634027672188,582,2016/7/14,0.005181347150259086
114,2016/7/13,19195,19195,18745,18800,454700,8609068000,114,9432,2016/7/13,-0.011942174732872401,6577,2016/7/13,-0.0030316810671516814,579,2016/7/13,-0.02030456852791873
115,2016/7/12,19190,19280,18805,18830,547000,10390599500,115,9546,2016/7/12,-0.0013599748927711763,6597,2016/7/12,0.0016702095353779978,591,2016/7/12,-0.008389261744966459
116,2016/7/11,18550,19060,18550,18810,599100,11289376000,116,9559,2016/7/11,0.02355712603062421,6586,2016/7/11,0.015417823003391895,596,2016/7/11,0.013605442176870763
117,2016/7/8,18415,18555,18065,18065,494600,9030596500,117,9339,2016/7/8,-0.01911563911353853,6486,2016/7/8,-0.02744039586144853,588,2016/7/8,-0.02487562189054726
118,2016/7/7,18230,18265,18065,18245,390200,7105767000,118,9521,2016/7/7,-0.010393929944912172,6669,2016/7/7,0.0095367847411445,603,2016/7/7,0.020304568527918843
119,2016/7/6,17900,18095,17745,18090,376400,6760228000,119,9621,2016/7/6,0.005644402634054524,6606,2016/7/6,0.0009090909090909705,591,2016/7/6,0.005102040816326481
120,2016/7/5,18125,18250,17985,18115,242300,4380207000,120,9567,2016/7/5,-0.0006267627702915002,6600,2016/7/5,0.010719754977029039,588,2016/7/5,0.00857632933104635
121,2016/7/4,18025,18080,17880,18080,353300,6367680500,121,9573,2016/7/4,0.013015873015872925,6530,2016/7/4,0.02095059412132594,583,2016/7/4,-0.0034188034188034067
122,2016/7/1,18320,18330,17860,18080,546500,9882215500,122,9450,2016/7/1,0.001802183822749992,6396,2016/7/1,-0.010978815524972929,585,2016/7/1,0.013864818024263537
123,2016/6/30,18300,18320,17990,18125,596000,10804279500,123,9433,2016/6/30,-0.0036966624419095817,6467,2016/6/30,0.0009286488159727657,577,2016/6/30,-0.013675213675213627
124,2016/6/29,18245,18335,17970,18145,527200,9560290500,124,9468,2016/6/29,0.016643401696553095,6461,2016/6/29,0.013013483850736973,585,2016/6/29,0.019163763066202044
125,2016/6/28,17700,18370,17610,18020,573400,10362369000,125,9313,2016/6/28,0.0021521575379317426,6378,2016/6/28,0.011899095668729265,574,2016/6/28,0.036101083032491044
126,2016/6/27,17350,18180,17225,18090,627200,11248890000,126,9293,2016/6/27,0.05650295588904042,6303,2016/6/27,0.042679900744416965,554,2016/6/27,0.05523809523809531
127,2016/6/24,18540,18580,16840,17050,641200,11177569500,127,8796,2016/6/24,-0.06495163176358032,6045,2016/6/24,-0.06002176955372418,525,2016/6/24,-0.02957486136783738
128,2016/6/23,18350,18350,18185,18340,353900,6473302000,128,9407,2016/6/23,0.004055929127975144,6431,2016/6/23,0.004529834426741708,541,2016/6/23,0.0
129,2016/6/22,18345,18395,18080,18180,240700,4385571500,129,9369,2016/6/22,-0.0031918289179699855,6402,2016/6/22,-0.005746233887249597,541,2016/6/22,-0.0018450184501844769
130,2016/6/21,17990,18375,17800,18345,396000,7178179000,130,9399,2016/6/21,0.012059868633573778,6439,2016/6/21,0.00924764890282126,542,2016/6/21,0.0037037037037037646
131,2016/6/20,17930,18150,17820,18075,490800,8858287000,131,9287,2016/6/20,0.016750602145828797,6380,2016/6/20,0.010292953285827355,540,2016/6/20,0.009345794392523255
132,2016/6/17,18270,18295,17650,17650,845900,15096745500,132,9134,2016/6/17,-0.00889756944444442,6315,2016/6/17,-0.01940993788819878,535,2016/6/17,-0.0092592592592593
133,2016/6/16,18535,18585,17985,18030,478700,8714438500,133,9216,2016/6/16,-0.02082447938801535,6440,2016/6/16,-0.018292682926829285,540,2016/6/16,-0.001848428835489857
